"course_id","hp","descr"
"TSRT16",6.0,"Reglerteknik. fortsättningskurs M"
"LASPS4",15.0,"Samhällsvetenskapligt tema Människans villkor (1-10)"
"TPPE36",4.5,"Produktionssystemets ekonomi"
"LLSPB4",15.0,"Skriftspråklig inlärning och utveckling"
"9RE241",15.0,"Religionskunskap (46-60hp)"
"LLSPB1",15.0,"Möjligheter och hinder i lärandet"
"LLSPB3",15.0,"Socioemotionell utveckling och lärande"
"LLSPB2",15.0,"Skriftspråklig inlärning och utveckling"
"TPPE32",6.0,"Finansiell riskhantering"
"TAMS47",4.5,"Stokastiska processer"
"TAMS46",6.0,"Sannolikhetslära. fortsättningskurs"
"TAMS45",4.5,"Stationära stokastiska processer"
"LOG502",10.5,"Kommunikationssvårigheter hos vuxna med tilläggshandikapp"
"TMYT68",4.5,"Datorstödd tillverkning"
"TMYT69",6.0,"Industriell ekonomi med produktionsfilosofi"
"TMYT66",4.5,"Kvalitet. miljöstyrning och underhållsteknik"
"TMYT67",6.0,"Projektledning med ledarskap"
"TMYT64",12.0,"Formgivning och industridesign"
"TMYT65",3.0,"Datoranvänding och IT"
"HNAC71",7.5,"Finansieringsteori"
"TMYT63",9.0,"Designteknik"
"HNAC73",7.5,"Räntebärande finansiella instrument"
"HNAC72",7.5,"Finansiella marknader"
"910G05",30.0,"Svenska som andraspråk 2. fortsättningskurs"
"HPPC43",7.5,"Professionsfrågor samt klinisk handledning och konsultation"
"HHAA13",7.5,"Arbetsrätt"
"HHAA12",7.5,"Ekonomisk familjerätt"
"LPSP16",15.0,"Franska (71-80)"
"8FHA02",7.5,"Epidemiologi och medicinsk statistik. avancerad nivå"
"HHAA17",15.0,"Juridisk grundkurs"
"LPSP11",15.0,"Barn. livsfrågor och skönlitteratur"
"HHAA15",15.0,"Kredit- och exekutionsrätt"
"LPSP13",15.0,"Franska (61-70)"
"TFYA33",1.5,"Nanopartiklar och luminesence"
"TFYA32",6.0,"Industriell bioteknik"
"TFYA31",6.0,"Material and Nanotechnology"
"TFYA30",6.0,"Supramolecular Chemistry"
"TFYA37",6.0,"Mjuka material"
"TFYA36",6.0,"Kaos och icke-linjära fenomen"
"TFYA35",6.0,"Molekylfysik"
"TFYA34",6.0,"Applied Scientific Computing"
"ÖXPT01",90.0,"Systemiskt orienterad familjeterapi"
"8FHA06",4.5,"Scientific Methodology in Public Health Sciences. avancerad nivå"
"HIIA67",22.5,"Introduktion till systemutveckling"
"HIIA66",7.5,"Informatik. teknik och lärande"
"754G58",30.0,"Produkt- och uppsatsarbete med vetenskaplig metod"
"754G59",15.0,"Barn- och ungdomsteaterns uttryckssätt"
"HIIA63",15.0,"Systemutvecklingsprojekt"
"HIIA61",7.5,"Introduktion till programmering och datateknik"
"754G52",15.0,"Nordic Culture"
"722G30",15.0,"Bachelor Thesis"
"754G50",15.0,"International Course in Drama Communication A"
